==============================================================
   BASE PAPER PARAMETER AMORTIZATION - SIMULATION METRICS    
   Kumari et al. | n=512 | N=3 | LDPC 102x204 | AEAD         
==============================================================
Timestamp(us)	MoteID	Message
--------------------------------------------------------------
236000	2	[INFO: Main      ] Starting Contiki-NG-release/v5.1-71-g23e51c4d4-dirty
236000	2	[DBG : Main      ] TARGET=cooja
236000	2	[INFO: Main      ] - Routing: RPL Lite
236000	2	[INFO: Main      ] - Net: sicslowpan
236000	2	[INFO: Main      ] - MAC: CSMA
236000	2	[INFO: Main      ] - 802.15.4 PANID: 0xabcd
236000	2	[INFO: Main      ] - 802.15.4 Default channel: 26
236000	2	[INFO: Main      ] Node ID: 2
236000	2	[INFO: Main      ] Link-layer address: 0002.0002.0002.0002
236000	2	[INFO: IPv6 DS   ] Init: 4 neighbors
236000	2	[INFO: IPv6 DS   ] 2 default routers
236000	2	[INFO: IPv6 DS   ] 3 prefixes
236000	2	[INFO: IPv6 DS   ] 4 routes
236000	2	[INFO: IPv6 DS   ] 3 unicast addresses
236000	2	[INFO: IPv6 DS   ] 7 multicast addresses
236000	2	[INFO: IPv6 DS   ] 2 anycast addresses
236000	2	[INFO: IPv6 DS   ] Adding prefix fe80:: len 64, flags 0, valid/preferred lifetime 0/0
236000	2	[INFO: Main      ] Tentative link-local IPv6 address: fe80::202:2:2:2
236000	2	[INFO: Gateway   ] === Ring-LWE Gateway Node Starting ===
236000	2	[INFO: Gateway   ] [Initialization] Generating cryptographic keys...
236000	2	[INFO: Gateway   ] 1. Generating Ring-LWE keys...
236000	2	[INFO: Gateway   ]    Ring-LWE key generation: SUCCESS
236000	2	[INFO: Gateway   ] 2. Generating QC-LDPC keys...
236000	2	[INFO: Gateway   ]    LDPC matrix generation: SUCCESS
236000	2	[INFO: Gateway   ] 3. Initializing ring member public keys...
236000	2	[INFO: Gateway   ]    - Ring member 2 public key generated
236000	2	[INFO: Gateway   ]    - Ring member 3 public key generated
236000	2	[INFO: Gateway   ]    Ring setup complete
236000	2	[INFO: Gateway   ] 
236000	2	=== Gateway Ready ===
236000	2	[INFO: Gateway   ] Configuration:
236000	2	[INFO: Gateway   ]   - Polynomial degree (n): 512
236000	2	[INFO: Gateway   ]   - Modulus (q): 536870909
236000	2	[INFO: Gateway   ]   - Ring size (N): 3
236000	2	[INFO: Gateway   ]   - LDPC dimensions: 102x204
236000	2	[INFO: Gateway   ] 
236000	2	Listening on UDP port 5678...
236000	2	
