==================================================
        LR-IOTA PROTOCOL SIMULATION LOGGER        
==================================================
Timestamp(us)	ID	Message
17708680	ID:2	Receiving UDP packet
17708680	ID:2	
17708680	ID:2	
17708680	ID:2	
17708680	ID:2	
17731440	ID:1	
17731440	ID:1	Receiving UDP packet
17856000	ID:1	
17856000	ID:1	No route found
17856000	ID:1	
17856000	ID:1	No route found
17856000	ID:1	
17856000	ID:1	
17885680	ID:2	
17885680	ID:2	Receiving UDP packet
17885680	ID:2	
17885680	ID:2	
17885680	ID:2	
17885680	ID:2	
17919440	ID:1	
17919440	ID:1	Receiving UDP packet
18044000	ID:1	
18044000	ID:1	No route found
18044000	ID:1	
18044000	ID:1	No route found
18044000	ID:1	
18044000	ID:1	
18051680	ID:2	
18051680	ID:2	Receiving UDP packet
18051680	ID:2	
18051680	ID:2	
18051680	ID:2	
18051680	ID:2	
18069440	ID:1	
18069440	ID:1	Receiving UDP packet
18194000	ID:1	
18194000	ID:1	No route found
18194000	ID:1	
18194000	ID:1	No route found
18194000	ID:1	
18194000	ID:1	
18218680	ID:2	
18218680	ID:2	Receiving UDP packet
18218680	ID:2	
18218680	ID:2	
18218680	ID:2	
18218680	ID:2	
18261440	ID:1	
18261440	ID:1	Receiving UDP packet
18386000	ID:1	
18386000	ID:1	No route found
18386000	ID:1	
18386000	ID:1	No route found
18386000	ID:1	
18386000	ID:1	
18427680	ID:2	
18427680	ID:2	Receiving UDP packet
18427680	ID:2	
18427680	ID:2	
18427680	ID:2	
18427680	ID:2	
18456440	ID:1	
18456440	ID:1	Receiving UDP packet
18581000	ID:1	
18581000	ID:1	No route found
18581000	ID:1	
18581000	ID:1	No route found
18581000	ID:1	
18581000	ID:1	
18598680	ID:2	
18598680	ID:2	Receiving UDP packet
18598680	ID:2	
18598680	ID:2	
18598680	ID:2	
18598680	ID:2	
18626440	ID:1	
18626440	ID:1	Receiving UDP packet
18751000	ID:1	
18751000	ID:1	No route found
18751000	ID:1	
18751000	ID:1	No route found
18751000	ID:1	
18751000	ID:1	
18793680	ID:2	
18793680	ID:2	Receiving UDP packet
18793680	ID:2	
18793680	ID:2	
18793680	ID:2	
18793680	ID:2	
18813440	ID:1	
18813440	ID:1	Receiving UDP packet
18938000	ID:1	
18938000	ID:1	No route found
18938000	ID:1	
18938000	ID:1	No route found
18938000	ID:1	
18938000	ID:1	
18951680	ID:2	
18951680	ID:2	Receiving UDP packet
18951680	ID:2	
18951680	ID:2	
18951680	ID:2	
18951680	ID:2	
18982440	ID:1	
18982440	ID:1	Receiving UDP packet
19107000	ID:1	
19107000	ID:1	No route found
19107000	ID:1	
19107000	ID:1	No route found
19107000	ID:1	
19107000	ID:1	
19119680	ID:2	
19119680	ID:2	Receiving UDP packet
19119680	ID:2	
19119680	ID:2	
19119680	ID:2	
19119680	ID:2	
19160440	ID:1	
19160440	ID:1	Receiving UDP packet
19285000	ID:1	
19285000	ID:1	No route found
19285000	ID:1	
19285000	ID:1	No route found
19285000	ID:1	
19285000	ID:1	
19327680	ID:2	
19327680	ID:2	Receiving UDP packet
